filename, language, JavaScript, JSON, Markdown, HTML, Vue.js, TypeScript, Less, XML, SCSS, CSS, Log, comment, blank, total
e:\WORK\Rtis-Vutfify\README.md, Markdown, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
e:\WORK\Rtis-Vutfify\babel.config.js, JavaScript, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6
e:\WORK\Rtis-Vutfify\package.json, JSON, 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 204
e:\WORK\Rtis-Vutfify\public\img\icons\safari-pinned-tab.svg, XML, 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 1, 150
e:\WORK\Rtis-Vutfify\public\index.html, HTML, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 2, 25
e:\WORK\Rtis-Vutfify\public\manifest.json, JSON, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
e:\WORK\Rtis-Vutfify\src\app.vue, Vue.js, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 15, 6, 73
e:\WORK\Rtis-Vutfify\src\assets\icons\iconfont.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 14, 38
e:\WORK\Rtis-Vutfify\src\assets\icons\iconfont.svg, XML, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 3, 25, 57
e:\WORK\Rtis-Vutfify\src\assets\images\error-page\error-401.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
e:\WORK\Rtis-Vutfify\src\assets\images\error-page\error-404.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
e:\WORK\Rtis-Vutfify\src\assets\images\error-page\error-500.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
e:\WORK\Rtis-Vutfify\src\assets\images\icon-social-bilibili.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
e:\WORK\Rtis-Vutfify\src\assets\images\icon-social-juejin.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
e:\WORK\Rtis-Vutfify\src\assets\images\icon-social-twitter.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
e:\WORK\Rtis-Vutfify\src\assets\images\icon-social-zhihu.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
e:\WORK\Rtis-Vutfify\src\assets\logo.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
e:\WORK\Rtis-Vutfify\src\assets\models\json\scene.json, JSON, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155
e:\WORK\Rtis-Vutfify\src\assets\models\three\scene.json, JSON, 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 194
e:\WORK\Rtis-Vutfify\src\components\Footer.vue, Vue.js, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
e:\WORK\Rtis-Vutfify\src\components\add\add.vue, Vue.js, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 2, 76
e:\WORK\Rtis-Vutfify\src\components\add\index.js, JavaScript, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
e:\WORK\Rtis-Vutfify\src\components\affix\affix.vue, Vue.js, 0, 0, 0, 0, 328, 0, 0, 0, 0, 0, 0, 99, 74, 501
e:\WORK\Rtis-Vutfify\src\components\affix\index.js, JavaScript, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
e:\WORK\Rtis-Vutfify\src\components\affix\model-mixin.vue, Vue.js, 0, 0, 0, 0, 466, 0, 0, 0, 0, 0, 0, 79, 162, 707
e:\WORK\Rtis-Vutfify\src\components\breadcrumb-nav.vue, Vue.js, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
e:\WORK\Rtis-Vutfify\src\components\camera\canvashelper.js, JavaScript, 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 20, 278
e:\WORK\Rtis-Vutfify\src\components\camera\coincide.vue, Vue.js, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
e:\WORK\Rtis-Vutfify\src\components\camera\img-operation.vue, Vue.js, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
e:\WORK\Rtis-Vutfify\src\components\camera\index.js, JavaScript, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
e:\WORK\Rtis-Vutfify\src\components\camera\main.vue, Vue.js, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 22, 8, 135
e:\WORK\Rtis-Vutfify\src\components\camera\scan-doc.vue, Vue.js, 0, 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 13, 8, 219
e:\WORK\Rtis-Vutfify\src\components\charts\bar.vue, Vue.js, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 3, 60
e:\WORK\Rtis-Vutfify\src\components\charts\index.js, JavaScript, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
e:\WORK\Rtis-Vutfify\src\components\charts\pie.vue, Vue.js, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 2, 71
e:\WORK\Rtis-Vutfify\src\components\charts\theme.json, JSON, 0, 490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 492
e:\WORK\Rtis-Vutfify\src\components\clock\Clock.vue, Vue.js, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 6, 58
e:\WORK\Rtis-Vutfify\src\components\clock\index.js, JavaScript, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
e:\WORK\Rtis-Vutfify\src\components\common-icon\common-icon.vue, Vue.js, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
e:\WORK\Rtis-Vutfify\src\components\common-icon\index.js, JavaScript, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
e:\WORK\Rtis-Vutfify\src\components\common\common.less, Less, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
e:\WORK\Rtis-Vutfify\src\components\common\util.js, JavaScript, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
e:\WORK\Rtis-Vutfify\src\components\core\Drawer copy 2.vue, Vue.js, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 1, 4, 109
e:\WORK\Rtis-Vutfify\src\components\core\Drawer copy.vue, Vue.js, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 5, 111
